name	chinese	math	english	sum	grade
李严	76	62	93	231	排名1
孙皓	67	70	92	229	排名2
黄祖	76	60	91	227	排名3
张虎	70	65	88	223	排名4
徐庶	66	80	76	222	排名5
庞德公	76	46	95	217	排名6
虞翻	62	70	84	216	排名7
甘宁	80	60	73	213	并列排名8
陈珪	51	73	89	213	并列排名8
徐晃	62	80	70	212	排名10
何进	42	71	97	210	排名11
公孙康	64	49	96	209	排名12
关兴	67	60	80	207	排名13
韩馥	80	77	49	206	排名14
嵇康	87	50	68	205	并列排名15
许攸	60	51	94	205	并列排名15
全琮	68	70	66	204	排名17
郑浑	68	64	71	203	排名18
吕旷	80	40	82	202	并列排名19
朱儁	75	76	51	202	并列排名19
夏侯渊	60	71	71	202	并列排名19
张仲景	63	87	52	202	并列排名19
公孙瓒	77	60	65	202	并列排名19
关羽	75	63	63	201	并列排名24
赵广	68	74	59	201	并列排名24
孙桓	39	62	98	199	并列排名26
董允	48	80	71	199	并列排名26
贾诩	71	68	60	199	并列排名26
李儒	56	73	70	199	并列排名26
黄承彦	68	70	60	198	并列排名30
邓艾	61	62	75	198	并列排名30
蔡琰	60	70	67	197	排名32
吉平	66	60	70	196	并列排名33
蔡邕	58	63	75	196	并列排名33
袁绍	73	54	68	195	并列排名35
荀彧	40	71	84	195	并列排名35
庞德	65	64	65	194	排名37
魏延	60	60	73	193	并列排名38
任峻	60	54	79	193	并列排名38
王允	55	63	74	192	并列排名40
张允	63	85	44	192	并列排名40
黄忠	52	52	88	192	并列排名40
卫瓘	60	51	80	191	并列排名43
祖茂	60	60	71	191	并列排名43
曹休	60	40	91	191	并列排名43
刘璋	70	60	60	190	并列排名46
乐进	60	61	69	190	并列排名46
张角	60	58	72	190	并列排名46
汉献帝	74	50	65	189	并列排名49
顾雍	67	41	81	189	并列排名49
郭汜	60	49	80	189	并列排名49
陶谦	80	48	60	188	并列排名52
阚泽	63	57	68	188	并列排名52
文丑	50	67	70	187	排名54
曹髦	62	52	72	186	并列排名55
赵咨	57	42	87	186	并列排名55
刘备	80	73	33	186	并列排名55
张昭	60	65	60	185	并列排名58
袁尚	62	62	61	185	并列排名58
崔州平	63	71	50	184	并列排名60
董昭	64	70	50	184	并列排名60
马岱	61	60	63	184	并列排名60
孙楙	60	51	72	183	并列排名63
曹洪	40	61	82	183	并列排名63
徐盛	60	53	70	183	并列排名63
于吉	72	40	70	182	并列排名66
管辂	70	73	39	182	并列排名66
周瑜	51	75	56	182	并列排名66
阮藉	63	67	52	182	并列排名66
华雄	40	65	77	182	并列排名66
石广元	71	51	60	182	并列排名66
阮瑀	67	54	60	181	并列排名72
丁奉	70	61	50	181	并列排名72
邯郸淳	64	67	50	181	并列排名72
夏侯楙	54	61	66	181	并列排名72
步骘	60	48	73	181	并列排名72
蒋琬	73	28	80	181	并列排名72
蒋干	67	73	40	180	并列排名78
邓芝	60	60	60	180	并列排名78
曹奂	61	70	48	179	并列排名80
张宝	65	68	46	179	并列排名80
张翼	60	59	60	179	并列排名80
郝昭	63	65	51	179	并列排名80
文钦	60	68	51	179	并列排名80
审配	47	71	61	179	并列排名80
司马懿	60	70	48	178	并列排名86
刘虞	48	65	65	178	并列排名86
杨仪	60	58	60	178	并列排名86
曹爽	50	65	63	178	并列排名86
法正	60	60	57	177	排名90
孟获	65	65	46	176	并列排名91
满宠	64	48	64	176	并列排名91
刘封	61	68	47	176	并列排名91
周泰	65	50	60	175	并列排名94
左慈	74	40	61	175	并列排名94
郭嘉	70	63	42	175	并列排名94
王粲	85	41	49	175	并列排名94
王双	73	22	80	175	并列排名94
程昱	60	64	51	175	并列排名94
郭淮	15	87	73	175	并列排名94
张绣	60	52	62	174	并列排名101
于禁	49	75	50	174	并列排名101
黄盖	54	60	60	174	并列排名101
伊籍	70	74	30	174	并列排名101
李傕	49	64	60	173	并列排名105
张苞	50	60	63	173	并列排名105
向宠	60	41	72	173	并列排名105
曹植	34	70	68	172	并列排名108
文聘	68	42	62	172	并列排名108
糜芳	44	68	60	172	并列排名108
杜夔	60	60	51	171	并列排名111
荀悦	70	51	50	171	并列排名111
关平	60	51	60	171	并列排名111
蔡瑁	73	73	25	171	并列排名111
曹霖	60	60	51	171	并列排名111
马超	59	42	69	170	并列排名116
于诠	77	57	36	170	并列排名116
严颜	41	49	80	170	并列排名116
蒋济	65	63	42	170	并列排名116
丁原	66	60	43	169	排名120
刘徽	68	39	61	168	并列排名121
曹仁	60	60	48	168	并列排名121
袁谭	51	60	57	168	并列排名121
曹冲	67	51	50	168	并列排名121
孙权	60	60	48	168	并列排名121
夏侯霸	61	49	57	167	并列排名126
王肃	60	30	77	167	并列排名126
华佗	64	60	42	166	并列排名128
貂蝉	50	67	49	166	并列排名128
刘晔	39	67	60	166	并列排名128
孙峻	65	70	31	166	并列排名128
刘巴	61	39	65	165	并列排名132
陆逊	64	68	33	165	并列排名132
马良	60	85	20	165	并列排名132
张邈	60	60	44	164	并列排名135
曹芳	73	39	52	164	并列排名135
董承	42	60	61	163	排名137
田丰	60	60	42	162	并列排名138
刘禅	65	60	37	162	并列排名138
秦宓	60	52	50	162	并列排名138
孔融	41	34	87	162	并列排名138
朱然	60	42	60	162	并列排名138
朱桓	60	52	50	162	并列排名138
孟达	70	68	24	162	并列排名138
钟繇	65	33	64	162	并列排名138
司马炎	64	61	36	161	并列排名146
毋丘俭	80	21	60	161	并列排名146
颜良	52	63	46	161	并列排名146
钟会	60	61	40	161	并列排名146
陆绩	67	62	31	160	并列排名150
韩当	71	56	33	160	并列排名150
刘焉	60	13	87	160	并列排名150
杨修	60	50	49	159	并列排名153
刘桢	65	20	74	159	并列排名153
诸葛瞻	60	54	45	159	并列排名153
简雍	60	73	25	158	并列排名156
蒋钦	70	40	48	158	并列排名156
应瑒	51	46	61	158	并列排名156
荀攸	70	40	48	158	并列排名156
典韦	63	31	64	158	并列排名156
程普	52	65	41	158	并列排名156
蹇硕	49	64	44	157	并列排名162
诸葛亮	60	64	33	157	并列排名162
吕范	32	63	62	157	并列排名162
贾充	51	39	67	157	并列排名162
糜竺	27	60	70	157	并列排名162
太史慈	70	50	36	156	并列排名167
陈琳	60	29	67	156	并列排名167
恒范	60	32	64	156	并列排名167
华歆	60	77	18	155	并列排名170
夏侯惇	42	63	50	155	并列排名170
凌统	87	35	33	155	并列排名170
吕翔	57	48	50	155	并列排名170
荀爽	60	44	51	155	并列排名170
辛毗	71	19	65	155	并列排名170
费祎	62	72	20	154	并列排名176
王弼	60	44	50	154	并列排名176
公孙渊	60	61	33	154	并列排名176
陈群	43	51	60	154	并列排名176
孟公威	60	52	42	154	并列排名176
庞统	68	67	19	154	并列排名176
荀勖	25	61	67	153	并列排名182
马钧	25	68	60	153	并列排名182
