曹操	23	29	48
曹彰	48	51	33
司马炎	64	61	36
荀攸	70	40	48
陈登	70	28	31
阮瑀	67	54	60
许褚	44	30	31
庞德	65	64	65
左慈	74	40	61
马钧	25	68	60
荀悦	70	51	50
阮藉	63	67	52
张允	63	85	44
王双	73	22	80
司马师	20	39	49
刘备	80	73	33
黄忠	52	52	88
蒋琬	73	28	80
关平	60	51	60
刘巴	61	39	65
谯周	19	56	60
吴班	42	35	60
孙坚	65	19	64
鲁肃	63	20	60
阚泽	63	57	68
徐盛	60	53	70
于吉	72	40	70
周善	60	32	60
朱桓	60	52	50
汉灵帝	52	23	41
陶谦	80	48	60
李傕	49	64	60
水镜先生	33	70	48
蔡琰	60	70	67
文丑	50	67	70
袁颐	60	44	44
刘虞	48	65	65
伊籍	70	74	30
曹丕	30	25	34
曹植	34	70	68
夏侯惇	42	63	50
郭嘉	70	63	42
蒋干	67	73	40
刘桢	65	20	74
徐晃	62	80	70
张绣	60	52	62
蔡瑁	73	73	25
吉平	66	60	70
荀勖	25	61	67
辛毗	71	19	65
文聘	68	42	62
曹爽	50	65	63
蒋济	65	63	42
关羽	75	63	63
魏延	60	60	73
费祎	62	72	20
关兴	67	60	80
糜竺	27	60	70
秦宓	60	52	50
董允	48	80	71
孙策	36	49	60
吕蒙	31	33	52
甘宁	80	60	73
周泰	65	50	60
祖茂	60	60	71
步骘	60	48	73
全琮	68	70	66
汉少帝	60	30	25
孔融	41	34	87
刘表	60	42	36
黄承彦	68	70	60
貂蝉	50	67	49
华雄	40	65	77
袁尚	62	62	61
董承	42	60	61
管辂	70	73	39
曹睿	50	66	19
曹熊	71	25	42
夏侯渊	60	71	71
贾诩	71	68	60
嵇康	87	50	68
弥横	36	65	49
于禁	49	75	50
公孙瓒	77	60	65
邓艾	61	62	75
刘晔	39	67	60
荀顗	60	27	65
枣祗	49	60	23
满宠	64	48	64
丁谧	46	36	62
徐质	33	31	67
张飞	31	80	27
孟获	65	65	46
马岱	61	60	63
张苞	50	60	63
糜芳	44	68	60
邓芝	60	60	60
向宠	60	41	72
孙权	60	60	48
陆逊	64	68	33
太史慈	70	50	36
蒋钦	70	40	48
陆绩	67	62	31
朱然	60	42	60
孙峻	65	70	31
汉献帝	74	50	65
审配	47	71	61
刘璋	70	60	60
崔州平	63	71	50
张仲景	63	87	52
张松	73	36	44
郭汜	60	49	80
韩馥	80	77	49
公孙渊	60	61	33
曹芳	73	39	52
曹霖	60	60	51
夏侯霸	61	49	57
程昱	60	64	51
应瑒	51	46	61
钟繇	65	33	64
典韦	63	31	64
郝昭	63	65	51
钟会	60	61	40
毛玠	72	50	29
荀爽	60	44	51
杜夔	60	60	51
曹真	60	15	37
毋丘俭	80	21	60
恒范	60	32	64
诸葛亮	60	64	33
法正	60	60	57
杨仪	60	58	60
诸葛瞻	60	54	45
周仓	60	51	21
孟达	70	68	24
张翼	60	59	60
孙亮	60	9	30
张昭	60	65	60
丁奉	70	61	50
顾雍	67	41	81
张温	65	57	27
虞翻	62	70	84
孙楙	60	51	72
袁绍	73	54	68
丁原	66	60	43
刘焉	60	13	87
石广元	71	51	60
刘徽	68	39	61
陈宫	60	22	70
张让	65	17	68
朱儁	75	76	51
张角	60	58	72
曹髦	62	52	72
曹冲	67	51	50
曹洪	40	61	82
许攸	60	51	94
陈琳	60	29	67
陈群	43	51	60
乐进	60	61	69
吕旷	80	40	82
崔琰	65	28	60
任峻	60	54	79
王肃	60	30	77
郑浑	68	64	71
曹休	60	40	91
文钦	60	68	51
卫瓘	60	51	80
庞统	68	67	19
马良	60	85	20
王平	60	22	23
赵统	62	39	25
简雍	60	73	25
廖化	70	52	27
李恢	60	28	30
孙休	71	51	31
诸葛谨	60	39	31
韩当	71	56	33
凌统	87	35	33
潘璋	60	19	34
马忠	60	20	36
于诠	77	57	36
袁术	61	53	39
董卓	60	40	40
张任	60	32	41
孟公威	60	52	42
华佗	64	60	42
田丰	60	60	42
蹇硕	49	64	44
张邈	60	60	44
张宝	65	68	46
曹奂	61	70	48
司马懿	60	70	48
曹仁	60	60	48
杨修	60	50	49
王粲	85	41	49
张辽	7	60	49
李典	39	60	50
吕翔	57	48	50
邯郸淳	64	67	50
董昭	64	70	50
王弼	60	44	50
朱士行	33	65	52
王朗	57	30	52
诸葛诞	69	34	22
繁钦	12	68	16
赵子龙	64	50	2
马谡	55	42	11
孙乾	55	40	50
赵广	68	74	59
彭羕	6	70	40
李严	76	62	93
乐綝	43	25	63
孙皓	67	70	92
诸葛恪	51	67	34
程普	52	65	41
孙静	3	62	83
吕范	32	63	62
赵咨	57	42	87
王允	55	63	74
李儒	56	73	70
卢植	51	20	42
徐庶	66	80	76
陈宫	51	70	23
沮授	51	50	8
何进	42	71	97
黄祖	76	60	91
张梁	40	52	38
曹昂	19	73	61
司马昭	51	60	3
荀彧	40	71	84
陈珪	51	73	89
徐干	37	66	33
张郃	64	25	36
郭淮	15	87	73
张鲁	21	36	78
皇甫谧	32	60	53
公孙康	64	49	96
华歆	60	77	18
王濬	58	61	31
夏侯楙	54	61	66
贾充	51	39	67
吴质	68	19	35
马超	59	42	69
姜维	9	71	71
刘禅	65	60	37
刘封	61	68	47
严颜	41	49	80
霍峻	57	50	20
张虎	70	65	88
周瑜	51	75	56
黄盖	54	60	60
张纮	60	65	27
乔国老	13	23	29
陈式	51	64	30
孙桓	39	62	98
马腾	22	67	21
吕布	17	27	86
庞德公	76	46	95
蔡邕	58	63	75
颜良	52	63	46
袁谭	51	60	57
刘恢	61	60	13
刘琦	51	72	14
